7;37;146;9;37146;37751;Gallegos de Solmirón;Castilla_y_Leon;Salamanca;40.5338929149, -5.46293058025
7;37;315;0;37315;37752;Tala, La;Castilla_y_Leon;Salamanca;40.5945218814, -5.52670310597
12;15;58;4;15058;15177;Oleiros;Galicia;Coruña, A;43.3499176376, -8.33083410739
12;15;71;6;15071;15218;Porto do Son;Galicia;Coruña, A;42.6855509865, -8.98895242258
12;15;36;7;15036;15595;Ferrol;Galicia;Coruña, A;43.5098421263, -8.27039372978
12;15;60;1;15060;15684;Oroso;Galicia;Coruña, A;42.9982641963, -8.38742560649
12;15;90;5;15090;15807;Vilasantar;Galicia;Coruña, A;43.0721466213, -8.09935295972
12;15;77;4;15077;15860;Santa Comba;Galicia;Coruña, A;43.0454460413, -8.80681181665
12;15;56;2;15056;15863;Negreira;Galicia;Coruña, A;42.9086894467, -8.81821778685
12;15;2;6;15002;15864;Ames;Galicia;Coruña, A;42.8909999673, -8.64617601275
12;15;12;4;15012;15882;Boqueixón;Galicia;Coruña, A;42.8275160957, -8.4226277553
12;15;78;0;15078;15892;Santiago de Compostela;Galicia;Coruña, A;42.9105581495, -8.51717680853
12;15;78;0;15078;15893;Santiago de Compostela;Galicia;Coruña, A;42.9105581495, -8.51717680853
12;15;11;9;15011;15939;Boiro;Galicia;Coruña, A;42.6791633198, -8.88898973979
8;16;39;5;16039;16114;Buenache de Alarcón;Castilla-La_Mancha;Cuenca;39.6521743537, -2.1570924448
8;16;902;0;16902;16122;Valdetórtola;Castilla-La_Mancha;Cuenca;39.9240316443, -2.17028625991
8;16;904;1;16904;16191;Fuentenava de Jábaga;Castilla-La_Mancha;Cuenca;40.1299624879, -2.30711696737
8;16;14;8;16014;16313;Aliaguilla;Castilla-La_Mancha;Cuenca;39.729137717, -1.32277658821
8;16;162;5;16162;16522;Portalrubio de Guadamejud;Castilla-La_Mancha;Cuenca;40.281511235, -2.60855553808
8;16;26;2;16026;16710;Atalaya del Cañavate;Castilla-La_Mancha;Cuenca;39.5146473636, -2.245671331
8;16;50;6;16050;16850;Cañaveras;Castilla-La_Mancha;Cuenca;40.3571321675, -2.39412131907
9;17;68;1;17068;17132;Foixà;Cataluna;Girona;42.0504850164, 3.00043215753
9;17;203;9;17203;17133;Ultramort;Cataluna;Girona;42.0396378809, 3.03711400401
9;17;209;5;17209;17253;Vall-llobrega;Cataluna;Girona;41.8860944425, 3.12443272637
9;17;38;8;17038;17459;Campllong;Cataluna;Girona;41.8979504652, 2.83215077042
9;17;119;4;17119;17476;Palau de Santa Eulàlia;Cataluna;Girona;42.1793139485, 2.97533997351
9;17;169;3;17169;17482;Sant Julià de Ramis;Cataluna;Girona;42.0456111249, 2.84845211335
9;17;228;8;17228;17743;Vilanant;Cataluna;Girona;42.2566956044, 2.88003508403
9;17;208;2;17208;17813;Vall de Bianya, La;Cataluna;Girona;42.2377055032, 2.43367176545
9;17;46;4;17046;17856;Castellfollit de la Roca;Cataluna;Girona;42.2186901093, 2.543119316
1;18;21;2;18021;18100;Armilla;Andalucia;Granada;37.1478157898, -3.61938984741
1;18;13;5;18013;18120;Alhama de Granada;Andalucia;Granada;36.9950338916, -4.0032475761
1;18;11;4;18011;18179;Alfacar;Andalucia;Granada;37.2471743593, -3.55519441161
1;18;36;2;18036;18199;Cájar;Andalucia;Granada;37.1318059875, -3.57078848481
1;18;95;6;18095;18212;Güevéjar;Andalucia;Granada;37.257431439, -3.60156448871
1;18;37;8;18037;18290;Calicasas;Andalucia;Granada;37.2802069454, -3.62784002092
1;18;61;3;18061;18329;Chimeneas;Andalucia;Granada;37.1220714384, -3.8445723688
1;18;100;8;18100;18360;Huétor Tájar;Andalucia;Granada;37.1968254104, -4.04680158109
1;18;71;1;18071;18680;Dúrcal;Andalucia;Granada;37.0221357229, -3.513320894
1;18;912;0;18912;18813;Cuevas del Campo;Andalucia;Granada;37.6127238649, -2.91292451779
1;18;146;9;18146;18858;Orce;Andalucia;Granada;37.719148879, -2.39829238445
1;18;86;1;18086;18890;Gorafe;Andalucia;Granada;37.5197714189, -3.03609428872
8;19;22;0;19022;19119;Almonacid de Zorita;Castilla-La_Mancha;Guadalajara;40.2879569464, -2.84121602856
8;19;108;2;19108;19133;Durón;Castilla-La_Mancha;Guadalajara;40.6336737909, -2.71499741375
8;19;105;7;19105;19190;Chiloeches;Castilla-La_Mancha;Guadalajara;40.5703658089, -3.19455296449
8;19;17;5;19017;19268;Algora;Castilla-La_Mancha;Guadalajara;40.9489537524, -2.67009062414
8;19;901;0;19901;19346;Semillas;Castilla-La_Mancha;Guadalajara;41.0448479431, -3.12485136901
8;19;260;7;19260;19491;Sotillo, El;Castilla-La_Mancha;Guadalajara;40.876018236, -2.63140524349
8;19;38;7;19038;19492;Arbeteta;Castilla-La_Mancha;Guadalajara;40.6725144668, -2.40133076295
16;20;69;7;20069;20002;Donostia/San Sebastián;Pais_Vasco;Gipuzkoa;43.2953555761, -1.98803859558
16;20;69;7;20069;20012;Donostia/San Sebastián;Pais_Vasco;Gipuzkoa;43.2953555761, -1.98803859558
16;20;69;7;20069;20100;Donostia/San Sebastián;Pais_Vasco;Gipuzkoa;43.2953555761, -1.98803859558
16;20;26;1;20026;20214;Zerain;Pais_Vasco;Gipuzkoa;43.0101045985, -2.29237474846
16;20;37;5;20037;20248;Gaintza;Pais_Vasco;Gipuzkoa;43.0539017157, -2.13104226319
16;20;52;7;20052;20250;Legorreta;Pais_Vasco;Gipuzkoa;43.089244569, -2.15220590282
16;20;71;8;20071;20268;Tolosa;Pais_Vasco;Gipuzkoa;43.1062885359, -2.08104330434
16;20;907;2;20907;20491;Gaztelu;Pais_Vasco;Gipuzkoa;43.1069519764, -2.01879038324
1;21;46;4;21046;21280;Lucena del Puerto;Andalucia;Huelva;37.2512785084, -6.73641576548
1;21;10;1;21010;21440;Ayamonte;Andalucia;Huelva;37.2689635139, -7.38452549488
1;21;44;8;21044;21449;Lepe;Andalucia;Huelva;37.2801906648, -7.22457913514
1;21;15;7;21015;21580;Cabezas Rubias;Andalucia;Huelva;37.7667676457, -7.10702834226
1;21;78;9;21078;21649;Zalamea la Real;Andalucia;Huelva;37.6368997522, -6.67561461191
1;21;5;9;21005;21739;Almonte;Andalucia;Huelva;37.1011694599, -6.53378582101
2;22;139;5;22139;22126;Laperdiguera;Aragon;Huesca;41.9909114939, -0.0535037058301
2;22;81;8;22081;22142;Casbas de Huesca;Aragon;Huesca;42.2141651927, -0.177349888137
2;22;42;2;22042;22311;Azlor;Aragon;Huesca;42.0972293308, -0.0387411923704
2;22;66;4;22066;22348;Boltaña;Aragon;Huesca;42.4152466144, 0.00246768262273
2;22;74;6;22074;22451;Campo;Aragon;Huesca;42.4291709735, 0.395131292367
2;22;54;0;22054;22469;Benasque;Aragon;Huesca;42.6364525947, 0.571744563167
2;22;254;8;22254;22530;Zaidín;Aragon;Huesca;41.625686682, 0.285596341005
2;22;16;5;22016;22560;Alcampell;Aragon;Huesca;41.8788729261, 0.435797303839
2;22;902;1;22902;22750;Puente la Reina de Jaca;Aragon;Huesca;42.5881413404, -0.763022241901
2;22;76;2;22076;22773;Canal de Berdún;Aragon;Huesca;42.6091124494, -0.861854339768
2;22;209;0;22209;22792;Santa Cruz de la Serós;Aragon;Huesca;42.5330979998, -0.682443343689
2;22;904;2;22904;22810;Sotonera, La;Aragon;Huesca;42.2483891017, -0.541609747744
1;23;24;3;23024;23212;Carolina, La;Andalucia;Jaén;38.3067101158, -3.61539358614
1;23;24;3;23024;23214;Carolina, La;Andalucia;Jaén;38.3067101158, -3.61539358614
1;23;79;3;23079;23250;Santisteban del Puerto;Andalucia;Jaén;38.298299249, -3.25087463582
1;23;65;7;23065;23370;Orcera;Andalucia;Jaén;38.3679241115, -2.73597767115
1;23;81;4;23081;23379;Segura de la Sierra;Andalucia;Jaén;38.2529165956, -2.65871843235
1;23;92;7;23092;23469;Úbeda;Andalucia;Jaén;37.9935605823, -3.30939796191
1;23;30;8;23030;23477;Chilluévar;Andalucia;Jaén;37.9907068599, -3.03430559601
1;23;73;7;23073;23489;Quesada;Andalucia;Jaén;37.7820346927, -3.0879957205
1;23;2;6;23002;23684;Alcalá la Real;Andalucia;Jaén;37.453429607, -3.93203664462
12;32;35;6;32035;32535;Irixo, O;Galicia;Ourense;42.513977462, -8.14092803317
